sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__retro,coverage__spectra,coverage__wetlab
stratified_equal,5,17,0.01104579749509582,0.920670718462285,0.8441622892989752,0.05777831790123456,0.7533913581570939,2,2,1
stratified_equal,5,18,0.05191671948091142,0.817548892283217,0.7077760731311632,0.08293572530864197,0.7555693401773141,2,2,1
stratified_equal,5,19,0.021993315225592277,0.939982145344492,0.8352932739179446,0.04233387345679013,0.707447674915604,2,2,1
stratified_equal,5,20,0.01965572657311,0.8736895887490173,0.67700320038633,0.04232461419753086,0.6283587866542395,2,2,1
stratified_equal,5,21,0.011559272672400788,0.8269015865060569,0.7092112703076887,0.03754683641975309,0.5111978810009704,2,2,1
stratified_equal,5,22,0.022257145012826305,0.7993916674221753,0.6570310336258146,0.07799128086419753,0.6493673909054101,2,2,1
stratified_equal,5,23,0.014319556360344045,0.8546422913727825,0.6870429186215167,0.03876905864197531,0.7093872138156782,2,2,1
stratified_equal,5,24,0.008242960615663196,0.9103817221537509,0.7909115788387002,0.13748202160493828,0.7153792910278272,2,2,1
stratified_equal,5,25,0.010960691112117093,0.9277256664964789,0.8128970193249391,0.07083387345679011,0.6489593352830846,2,2,1
stratified_equal,5,26,0.014086932246868864,0.8245555204514131,0.7136990900824892,0.12994498456790124,0.6143777193083474,2,2,1
stratified_equal,5,27,0.06894366983552135,0.9574469552614677,0.8898984166292194,0.2006579475308642,0.7174047402426078,2,2,1
stratified_equal,5,28,0.012291187566017802,0.9141870411815418,0.8091838819320086,0.03575979938271604,0.7636102327601367,2,2,1
stratified_equal,5,29,0.004064237211407876,0.9152457730985843,0.8037727730153806,0.019565354938271606,0.7630529996302086,2,2,1
stratified_equal,5,30,0.01392239323977667,0.9157951110983675,0.7693218186208295,0.06253757716049381,0.7292113982962394,2,2,1
stratified_equal,5,31,0.014109627282329862,0.9226304061438718,0.813285009628883,0.05297276234567901,0.6453057989067505,2,2,1
stratified_equal,5,32,0.02071671948091142,0.7591722633231072,0.6141131705360953,0.1438153549382716,0.6119456002299363,2,2,1
stratified_equal,5,33,0.019048634374528445,0.6795106742881959,0.5343667144834019,0.10954683641975309,0.5860908761200855,2,2,1
stratified_equal,5,34,0.009201825863890145,0.8330520005808454,0.7288792981454687,0.07868572530864197,0.6121375718122006,2,2,1
stratified_equal,5,35,0.005783386147578093,0.9128314653704567,0.7852322109186565,0.023630169753086423,0.6963337619211432,2,2,1
stratified_equal,5,36,0.008801825863890146,0.9095300749336749,0.8172825052418669,0.05378757716049384,0.5394189404121006,2,2,1
stratified_equal,5,37,0.01688693224686887,0.9684270140350553,0.8924133096001623,0.04610239197530863,0.6368340446741031,2,2,1
stratified_equal,5,38,0.02201884714048589,0.8975769357800788,0.7722522721128167,0.04229683641975309,0.7165521506410165,2,2,1
stratified_equal,5,39,0.10002168401991852,0.7619343876929257,0.6253053994807223,0.13202831790123457,0.711739003735603,2,2,1
stratified_equal,5,40,0.008126648558925606,0.9736514943497644,0.9149761402251629,0.11470424382716049,0.8601810141180116,2,2,1
stratified_equal,5,41,0.010169201750414967,0.908178238171182,0.7722522721128167,0.041750540123456796,0.5364646744948688,2,2,1
