,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
a[37],0.83,0.278,0.46,1.3,2826,2698,1.00,0.0051,0.0049
a[38],0.85,0.289,0.47,1.4,2849,2728,1.00,0.0053,0.0046
a[39],1.17,0.49,0.58,2.1,3560,2992,1.00,0.008,0.0089
a[40],1.25,0.51,0.63,2.2,3066,2556,1.00,0.0088,0.0098
a[41],0.854,0.28,0.49,1.4,3450,3121,1.00,0.0048,0.005
a[42],1.55,0.6,0.8,2.6,3701,2819,1.00,0.0099,0.012
a[43],1.29,0.55,0.65,2.3,3174,3052,1.00,0.0098,0.013
a[44],1.2,0.37,0.69,1.8,3427,2662,1.00,0.0061,0.0053
a[45],1.95,0.71,1.1,3.2,4511,3134,1.00,0.011,0.012
a[46],1.4,0.62,0.66,2.6,2477,2443,1.00,0.012,0.014
a[47],1.87,0.64,1,3,4018,2810,1.00,0.0098,0.011
a[48],1.61,0.67,0.81,2.8,2829,2270,1.00,0.013,0.016
a[49],1.55,0.69,0.75,2.8,3462,2867,1.00,0.013,0.015
a[50],1.31,0.56,0.65,2.3,2641,2812,1.00,0.011,0.013
a[51],1.3,0.55,0.64,2.3,3727,3375,1.00,0.0093,0.011
a[52],1.56,0.7,0.75,2.8,4431,3164,1.00,0.011,0.013
a[53],1.51,0.46,0.86,2.3,3911,2642,1.00,0.0074,0.0063
a[54],1.25,0.52,0.62,2.2,2611,2875,1.00,0.01,0.011
a[55],1.98,0.69,1.1,3.1,4221,3066,1.00,0.011,0.014
a[56],0.593,0.193,0.33,0.93,3930,2785,1.00,0.003,0.0024
a[57],1.56,0.71,0.74,2.8,4050,3424,1.00,0.012,0.014
a[58],1.28,0.55,0.63,2.3,3532,2822,1.00,0.0092,0.013
a[59],1.56,0.71,0.75,2.8,3621,2746,1.00,0.013,0.019
a[60],1.25,0.52,0.62,2.2,3306,3053,1.00,0.0091,0.01
a[61],1.55,0.68,0.74,2.8,3935,3183,1.00,0.011,0.012
a[62],1.27,0.55,0.63,2.3,3271,3031,1.00,0.0098,0.011
a[63],1.56,0.71,0.74,2.8,4294,2937,1.00,0.011,0.017
a[64],1.48,0.54,0.8,2.4,4270,3040,1.00,0.0084,0.012
a[65],1.23,0.53,0.61,2.2,3225,2913,1.00,0.009,0.012
a[66],1.87,0.63,1,2.9,3635,2907,1.00,0.011,0.013
a[67],0.92,0.314,0.5,1.5,3329,2892,1.00,0.0054,0.0049
a[68],1.05,0.34,0.57,1.7,2887,2236,1.00,0.0061,0.0051
a[69],0.98,0.296,0.56,1.5,3150,2270,1.00,0.005,0.004
a[70],1.55,0.67,0.76,2.8,3541,2704,1.00,0.012,0.014
a[71],1.17,0.48,0.59,2,3196,2562,1.00,0.0086,0.0099
a[72],1.38,0.55,0.69,2.4,3176,2777,1.00,0.0095,0.011
a[73],0.504,0.16,0.28,0.77,3033,2158,1.00,0.0028,0.0024
a[74],1.27,0.51,0.63,2.2,3496,2651,1.00,0.0082,0.01
a[75],1.36,0.62,0.64,2.5,2880,2431,1.00,0.011,0.015
a[76],1.57,0.73,0.73,2.9,3788,2826,1.00,0.013,0.016
