sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__retro,coverage__spectra,coverage__wetlab
random,5,26,0.00979757054474121,0.9136157704280913,0.781631749350903,0.08755609567901235,0.5847546088295655,2,2,1
random,5,27,0.010773457069563902,0.9771664816939875,0.9149761402251629,0.09242955246913581,0.7485926510849676,1,3,1
random,5,28,0.022520974800060368,0.9647185175903997,0.8983342757230725,0.02407500000000001,0.9647185175903997,0,5,0
random,5,29,0.04546849253055679,0.9559454586332539,0.8754275592730113,0.09431535493827159,0.8722021114767552,2,2,1
random,5,30,0.023686932246868866,0.6935212036549627,0.5954371961386479,0.07925497685185187,0.6002780712015146,1,0,4
random,5,31,0.02973515919722348,0.8562372971055299,0.7211316222722355,0.06991720679012345,0.7654980956390708,2,1,2
random,5,32,0.024628776218500074,0.9056999695472499,0.7852322109186565,0.1261826388888889,0.729675156111255,1,3,1
random,5,33,0.015289769126301483,0.6219430736113931,0.45704726308717725,0.14423202160493825,0.5065750540724144,2,1,2
random,5,34,0.011712464161762479,0.9559454586332539,0.8754275592730113,0.04051905864197531,0.7946545028397898,2,1,2
random,5,35,0.037459981892258944,0.6903184695796681,0.540295467239169,0.0973894290123457,0.48898732536222306,1,2,2
random,5,36,0.007925230119209292,0.9209266841864199,0.7909115788387002,0.03435547839506173,0.7077936358201322,3,1,1
random,5,37,0.025255726573110007,0.900176511814775,0.7481134002767627,0.07824128086419753,0.8352359932326712,2,1,2
random,5,38,0.009369201750414974,0.8752318487115212,0.697863157798853,0.009009143518518522,0.5693582317336461,2,3,0
random,5,39,0.018753598913535535,0.9527159969401509,0.8702543635872545,0.03721350308641975,0.7224433243240406,2,2,1
random,5,40,0.023701116644031992,0.9894797752097304,0.9539590550898286,0.10787399691358024,0.7614563894346298,1,3,1
random,5,41,0.01496352799154972,0.8210576858123295,0.6462303276414968,0.04414027777777777,0.8845026633578391,0,1,4
random,5,42,0.011797570544741218,0.9246949382066171,0.7786486411043856,0.09752222222222222,0.7069534065543572,0,4,1
random,5,43,0.012713882601478802,0.8445704238245623,0.7092112703076887,0.13272719907407407,0.6385668654629746,1,0,4
random,5,44,0.06160466274332277,0.9368478722730427,0.8616404368553291,0.10171350308641976,0.7642789519635316,2,1,2
random,5,45,0.00721601026105327,0.9317002028900006,0.7786486411043856,0.0345337962962963,0.6052800746684753,0,3,2
random,5,46,0.00978338614757809,0.8799080984615733,0.7407317712102527,0.031361651234567904,0.6590330846114717,3,1,1
random,5,47,0.014251471253961062,0.8210576858123295,0.6462303276414968,0.12186165123456794,0.8457577976202476,2,1,2
random,5,48,0.02496352799154972,0.8666720016907923,0.7077760731311632,0.03155081018518518,0.7127969906373228,2,3,0
random,5,49,0.018648634374528444,0.7929812163376702,0.6356417261637282,0.05234313271604937,0.7575893314011193,2,2,1
random,5,50,0.005238705296514261,0.9560765576286495,0.8529438595319315,0.10615177469135802,0.714964850998211,1,1,3
random,5,51,0.07068551380715256,0.4147685066183113,0.32566947363946475,0.08575439814814813,0.7429623522407207,5,0,0
random,5,52,0.06402168401991852,0.7314130399200134,0.6032430519215728,0.09253757716049382,0.6171452655934732,2,1,2
random,5,53,0.023842960615663194,0.554389377599778,0.338501600193165,0.04074108796296296,0.6744240973448434,2,0,3
random,5,54,0.024659981892258955,0.9352028352316922,0.8091838819320086,0.13204066358024688,0.7171574502874023,1,3,1
random,5,55,0.03074508827523766,0.8283821634956019,0.6674238124719145,0.10185173611111112,0.758183278379421,3,2,0
random,5,56,0.010228776218500083,0.9614094269768303,0.8616404368553291,0.10282461419753086,0.7308933210063122,1,3,1
random,5,57,0.04503444997736533,0.8928067854326359,0.7909115788387002,0.09416720679012346,0.8109358731133796,2,2,1
random,5,58,0.02394792515467029,0.934585004969397,0.8263342440128466,0.039043055555555546,0.9122397550547676,0,3,2
random,5,59,0.019445797495095823,0.9211923058649254,0.8091838819320086,0.08128140432098764,0.5421903441352528,1,1,3
random,5,60,0.010600407424173834,0.920670718462285,0.8128970193249391,0.003308333333333335,0.952417984616157,0,5,0
random,5,61,0.011108208842613548,0.918998002970077,0.8464803161443476,0.013036921296296298,0.6198789766901871,2,3,0
random,5,62,0.012183386147578095,0.9560765576286495,0.8529438595319315,0.08443572530864198,0.7853155962043274,1,2,2
random,5,63,0.011598988984457518,0.8666720016907923,0.7385489458759964,0.09568881172839505,0.8603189359228486,1,1,3
random,5,64,0.007170620190131282,0.9542490146014182,0.8441622892989752,0.027168055555555556,0.8497770074495103,0,2,3
random,5,65,0.0034684925305568074,0.9505834477355953,0.8668137748205085,0.10894807098765431,0.6970473916664975,1,3,1
random,5,66,0.018401825863890147,0.8842159693363548,0.7385489458759964,0.038174999999999994,0.9050925466350705,0,4,1
random,5,67,0.02947132940998944,0.8803035190049984,0.7288792981454687,0.07314722222222222,0.9577702286774382,0,4,1
random,5,68,0.010055726573110001,0.9667265263069179,0.9007896044148774,0.0693801697530864,0.9268481176437048,2,1,2
random,5,69,0.014569201750414968,0.8536487121374444,0.6878359394287946,0.04716111111111111,0.7471459653281717,0,4,1
random,5,70,0.015485513807152565,0.9680794315126894,0.9051114573693302,0.012241666666666673,0.9537052383270762,0,5,0
random,5,71,0.014937996076656107,0.7508818152300792,0.6462303276414968,0.07447893518518521,0.559486884992557,1,3,1
random,5,72,0.037332322317790864,0.866476742519613,0.753181916595446,0.029376388888888886,0.9036004399236057,0,3,2
random,5,73,0.007198988984457525,0.8842159693363548,0.7385489458759964,0.10070115740740741,0.6516118593185761,1,3,1
random,5,74,0.003167783310698658,0.9717860525178018,0.8983342757230725,0.01544016203703704,0.6452052883965799,3,0,2
random,5,75,0.010696861324883053,0.9579006334477178,0.8616404368553291,0.05508553240740742,0.6347829917109358,1,4,0
