feature,correlation,p_value,significant,abs_correlation,cohens_d,success_mean,failure_mean,n_success,n_failure
planning_statement_count,-0.32930033721651647,1.777499221530357e-07,True,0.32930033721651647,-0.7139561650337873,0.30851063829787234,3.0684931506849313,94,146
negative_marker_count,-0.3245967464459344,2.714050612305531e-07,True,0.3245967464459344,-0.7025403572667267,0.4148936170212766,5.7534246575342465,94,146
steps_to_first_reasoning,-0.3217345048082978,3.4991159297335515e-07,True,0.3217345048082978,-0.6956719002210222,3.4468085106382977,4.712328767123288,94,146
assistant_steps_to_first_reasoning,-0.3217345048082978,3.4991159297335515e-07,True,0.3217345048082978,-0.6956719002210222,3.4468085106382977,4.712328767123288,94,146
reasoning_statement_count,-0.30900180461471616,1.049915988978686e-06,True,0.30900180461471616,-0.6651618234362662,2.0531914893617023,5.794520547945205,94,146
thought_count,-0.28572931739123,6.875566332785171e-06,True,0.28572931739123,-0.6104192346355338,4.1063829787234045,12.068493150684931,94,146
give_up_count,-0.2856798303416204,6.901900100089272e-06,True,0.2856798303416204,-0.6102571532587292,0.0,0.18493150684931506,94,146
action_count,-0.2854638756381323,7.0179430840611585e-06,True,0.2854638756381323,-0.6098182864028462,3.6382978723404253,10.315068493150685,94,146
backtrack_trigger_count,-0.26728366160609296,2.720189552829476e-05,True,0.26728366160609296,-0.5678485706603194,0.2553191489361702,1.904109589041096,94,146
tools_used_count,-0.2656817443493011,3.0511278508476782e-05,True,0.2656817443493011,-0.5643553834473247,2.4468085106382977,3.191780821917808,94,146
longest_looping_sequence,-0.2624098928029309,3.848722484236233e-05,True,0.2624098928029309,-0.5566972133656036,0.02127659574468085,2.287671232876712,94,146
has_reasoning_in_first_step,0.2568299252927461,5.679310603702512e-05,True,0.2568299252927461,0.5444513784184081,0.574468085106383,0.3150684931506849,94,146
negative_marker_ratio,-0.2478554389953206,0.00010426989480978336,True,0.2478554389953206,-0.5237352767413399,0.0,0.06687771780664484,94,146
unnecessary_tool_use_count,0.2439499605959516,0.00013488806643236777,True,0.2439499605959516,0.5157452701849251,0.32978723404255317,0.0547945205479452,94,146
avg_tools_per_step,-0.24236688790105132,0.00014954831033197501,True,0.24236688790105132,-0.5116300360312201,0.43392058736238953,0.5071322883789544,94,146
uncertainty_marker_ratio,-0.22869109599264165,0.00035450731805631045,True,0.22869109599264165,-0.4811003761140939,0.39076260618813813,0.8339204174820612,94,146
error_burstiness,-0.21919724921304073,0.0006268026693281622,True,0.21919724921304073,-0.45991080914023336,0.0,0.136986301369863,94,146
max_consecutive_failures,-0.21919724921304073,0.0006268026693281622,True,0.21919724921304073,-0.45991080914023336,0.0,0.136986301369863,94,146
problem_marker_ratio,-0.21757672399196204,0.0006892112475391628,True,0.21757672399196204,-0.45634106899478283,0.0,0.10141470971950424,94,146
completion_tokens,-0.21672440256052122,0.0007242921574828439,True,0.21672440256052122,-0.45449907411295526,431.3829787234043,664.1506849315068,94,146
reasoning_to_total_ratio,-0.21251628512955884,0.0009229288870363479,True,0.21251628512955884,-0.4454915477525351,0.2822256644065155,0.34022613611654706,94,146
